rownum,State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,Andhra Pradesh,Adilabad,2000,0,11.243,0,4.892,39.883,213.245,260.107,449.676,71.194,21.801,1.11,0.894
2,Andhra Pradesh,Anantapur,2000,0,5.876,0,45.422,74.744,76.743,72.593,185.413,118.197,176.051,7.881,4.431
3,Andhra Pradesh,Chittoor,2000,0.008,29.256,0,40.611,59.111,94.714,98.985,171.999,163.666,216.036,33.587,18.495
4,Andhra Pradesh,Cuddapah,2000,0,13.219,0,28.022,61.744,78.884,73.599,184.146,123.56,148.136,17.407,7.739
5,Andhra Pradesh,East Godavari,2000,0,46.978,0,8.293,57.992,329.31,203.998,354.476,149.938,105.086,8.197,0.594
6,Andhra Pradesh,Guntur,2000,0,29.479,0,9.437,67.882,176.842,118.591,271.097,99.692,73.111,21.238,3.15
7,Andhra Pradesh,Hyderabad,2000,0,9.699,0,12.41,71.569,231.2,154.031,544.261,69.909,30.653,2.515,1.631
8,Andhra Pradesh,Karimnagar,2000,0,16.491,0,8.315,44.85,231.495,214.992,472.427,70.141,33.428,1.703,1.11
9,Andhra Pradesh,Khammam,2000,0,33.634,0,10.863,65.732,303.553,197.565,419.547,109.193,69.274,4.309,0.548
10,Andhra Pradesh,Krishna,2000,0,35.983,0,6.925,78.569,260.732,166.505,346.158,125.564,61.234,15.717,1.847
11,Andhra Pradesh,Kurnool,2000,0,4.584,0,21.746,67.386,91.179,56.566,180.246,91.04,102.635,6.716,3.729
12,Andhra Pradesh,Mahbubnagar,2000,0,7.87,0,18.705,69.24,160.512,98.987,339.999,84.596,59.851,4.066,2.5
13,Andhra Pradesh,Medak,2000,0,12.614,0,10.079,60.284,227.835,150.084,478.257,65.612,24.638,3.177,1.704
14,Andhra Pradesh,Nalgonda,2000,0,19.202,0,11.5,64.638,199.678,123.639,396.94,76.508,38.527,5.514,1.848
15,Andhra Pradesh,Nellore,2000,0.001,30.855,0,17.432,44.012,91.709,93.81,150.554,124.983,163.897,57.556,18.016
16,Andhra Pradesh,Nizamabad,2000,0,10.476,0,7.729,40.866,227.345,188.878,469.347,65.782,17.254,2.446,1.036
17,Andhra Pradesh,Prakasam,2000,0,18.498,0,12.194,55.707,117.958,91.129,208.638,91.684,100.085,28.078,5.556
18,Andhra Pradesh,Rangareddi,2000,0,9.556,0,13.194,69.211,214.697,137.572,474.56,81.82,33.296,3.064,1.722
19,Andhra Pradesh,Srikakulam,2000,0.018,29.166,0.01,15.305,37.997,236.686,101.001,200.021,99.917,113.24,9.99,0.102
20,Andhra Pradesh,Vishakhapatnam,2000,0,41.441,0,13.864,43.201,306.308,168.055,312.672,134.718,144.511,2.897,0.048
21,Andhra Pradesh,Vizianagaram,2000,0,31.016,0,19.836,38.502,265.521,139.41,266.612,115.908,130.221,3.45,0.014
22,Andhra Pradesh,Warangal,2000,0,29.621,0,11.223,43.788,238.784,155.833,408.973,72.511,54.028,2.7,1.218
