Sex,Job,Housing,Saving.accounts,Checking.account,MaritalStatus,CreditScore
male,2,own,moderate,moderate,Single,Bad
female,2,own,little,rich,Single,Good
male,1,own,little,rich,Single,Bad
male,2,free,little,rich,Single,Good
male,2,free,little,rich,Single,Bad
male,1,free,moderate,moderate,Single,Good
male,2,own,quite rich,little,Single,Bad
male,3,rent,little,rich,Single,Good
male,1,own,rich,little,Single,Bad
male,3,own,little,rich,Single,Good
female,2,rent,little,rich,Divorced,Bad
female,2,rent,little,rich,Divorced,Bad
female,2,own,little,rich,Divorced,Bad
male,1,own,little,rich,Single,Bad
female,2,rent,little,rich,Divorced,Bad
female,1,own,moderate,moderate,Divorced,Bad
male,2,own,moderate,moderate,Single,Bad
male,2,own,moderate,moderate,Single,Good
female,3,free,little,rich,Single,Good
male,2,own,quite rich,little,Divorced,Bad
male,2,own,little,rich,Single,Bad
male,2,rent,quite rich,little,Divorced,Bad
male,1,rent,little,rich,Single,Bad
male,2,own,moderate,moderate,Divorced,Bad
male,2,own,moderate,moderate,Divorced,Good
male,1,own,little,rich,Divorced,Good
male,1,own,little,rich,Divorced,Bad
female,2,rent,rich,little,Divorced,Bad
male,2,own,little,rich,Divorced,Bad
male,2,own,little,rich,Married,Good
male,2,own,rich,little,Divorced,Bad
male,2,own,little,rich,Divorced,Good
male,2,own,moderate,moderate,Single,Good
male,1,rent,moderate,moderate,Single,Bad
female,3,own,little,rich,Divorced,Good
male,1,own,little,rich,Divorced,Bad
male,2,free,little,rich,Single,Good
male,2,own,little,rich,Divorced,Bad
male,2,own,little,rich,Divorced,Bad
male,2,own,little,rich,Divorced,Bad
male,3,own,quite rich,little,Divorced,Bad
male,2,own,quite rich,little,Divorced,Bad
male,1,own,little,rich,Single,Good
male,2,rent,moderate,moderate,Single,Good
female,1,free,little,rich,Married,Good
female,3,own,little,rich,Divorced,Bad
male,2,own,quite rich,little,Divorced,Bad
female,0,rent,quite rich,little,Divorced,Bad
male,1,own,little,rich,Single,Good
female,2,own,moderate,moderate,Divorced,Bad
male,1,own,moderate,moderate,Divorced,Good
male,3,own,little,rich,Single,Good
male,2,own,little,rich,Divorced,Bad
male,2,own,moderate,moderate,Divorced,Bad
male,2,free,little,rich,Single,Bad
male,1,own,moderate,moderate,Divorced,Bad
male,3,own,moderate,moderate,Married,Good
female,2,own,little,rich,Single,Good
female,3,own,little,rich,Divorced,Bad
female,1,rent,little,rich,Single,Good
male,2,own,little,rich,Divorced,Bad
male,2,own,moderate,moderate,Single,Bad
male,3,free,little,rich,Single,Bad
male,2,own,little,rich,Single,Good
female,2,own,little,rich,Divorced,Bad
male,2,own,moderate,moderate,Married,Good
female,2,own,little,rich,Divorced,Bad
male,2,own,rich,little,Divorced,Bad
male,2,free,little,rich,Divorced,Bad
female,2,own,moderate,moderate,Divorced,Bad
female,2,own,little,rich,Single,Good
male,1,rent,moderate,moderate,Single,Bad
male,3,free,little,rich,Single,Bad
female,1,own,little,rich,Single,Good
male,3,own,moderate,moderate,Divorced,Bad
male,3,free,little,rich,Single,Bad
male,2,own,little,rich,Divorced,Bad
male,2,own,little,rich,Single,Bad
male,1,own,moderate,moderate,Single,Good
male,2,own,little,rich,Divorced,Good
female,2,own,moderate,moderate,Single,Good
male,2,own,quite rich,little,Single,Bad
female,1,rent,moderate,moderate,Divorced,Bad
female,1,own,little,rich,Single,Bad
male,1,own,little,rich,Single,Bad
female,3,own,little,rich,Divorced,Bad
female,2,own,little,rich,Divorced,Good
male,2,free,moderate,moderate,Married,Good
male,3,own,moderate,moderate,Divorced,Bad
male,2,own,little,rich,Divorced,Bad
male,2,own,little,rich,Single,Bad
male,2,own,little,rich,Single,Bad
female,1,own,moderate,moderate,Divorced,Bad
male,2,rent,moderate,moderate,Divorced,Good
male,2,own,rich,little,Single,Bad
male,2,rent,little,rich,Married,Good
female,2,own,moderate,moderate,Single,Bad
male,2,own,moderate,moderate,Divorced,Bad
male,2,own,little,rich,Divorced,Bad
male,3,rent,moderate,moderate,Single,Good
male,1,rent,moderate,moderate,Divorced,Bad
male,2,rent,little,rich,Divorced,Bad
female,2,own,little,rich,Divorced,Bad
male,2,rent,little,rich,Divorced,Good
male,2,rent,moderate,moderate,Divorced,Bad
male,3,own,little,rich,Single,Good
male,3,own,little,rich,Single,Good
male,2,own,little,rich,Single,Good
female,2,own,moderate,moderate,Single,Good
male,2,own,quite rich,little,Divorced,Bad
male,2,own,moderate,moderate,Divorced,Bad
female,2,rent,little,rich,Divorced,Bad
male,1,rent,little,rich,Single,Good
female,2,own,little,rich,Single,Good
male,2,own,quite rich,little,Divorced,Bad
male,2,own,moderate,moderate,Single,Bad
female,3,own,moderate,moderate,Single,Good
female,2,rent,moderate,moderate,Divorced,Good
female,2,own,quite rich,little,Divorced,Good
male,3,own,quite rich,little,Divorced,Bad
female,2,own,little,rich,Divorced,Bad
female,3,rent,little,rich,Divorced,Bad
male,1,rent,little,rich,Divorced,Good
male,2,free,little,rich,Single,Bad
female,2,rent,moderate,moderate,Divorced,Good
male,2,own,little,rich,Divorced,Bad
male,1,own,little,rich,Divorced,Bad
male,2,own,little,rich,Divorced,Bad
male,3,own,little,rich,Divorced,Bad
female,2,own,little,rich,Divorced,Bad
female,2,own,moderate,moderate,Single,Good
male,2,own,little,rich,Single,Good
male,1,own,little,rich,Divorced,Good
male,2,free,little,rich,Single,Bad
female,2,own,moderate,moderate,Single,Good
female,2,own,moderate,moderate,Divorced,Bad
male,2,own,rich,little,Single,Good
male,1,own,quite rich,little,Single,Bad
male,2,own,moderate,moderate,Divorced,Bad
female,1,rent,little,rich,Divorced,Bad
male,0,own,rich,little,Divorced,Bad
female,3,own,little,rich,Divorced,Bad
male,3,own,little,rich,Divorced,Bad
male,2,own,little,rich,Divorced,Good
female,2,own,little,rich,Divorced,Good
male,2,own,moderate,moderate,Divorced,Bad
female,2,own,little,rich,Divorced,Bad
female,2,own,moderate,moderate,Single,Bad
male,2,own,little,rich,Single,Good
male,2,own,rich,little,Single,Bad
male,2,free,moderate,moderate,Divorced,Bad
male,2,own,little,rich,Divorced,Bad
male,2,own,little,rich,Single,Good
female,2,rent,rich,little,Single,Good
male,3,rent,moderate,moderate,Single,Good
female,2,rent,little,rich,Divorced,Good
male,2,own,moderate,moderate,Single,Bad
male,1,own,little,rich,Single,Bad
male,2,own,moderate,moderate,Divorced,Bad
male,1,own,moderate,moderate,Divorced,Bad
male,2,own,moderate,moderate,Divorced,Bad
female,2,own,little,rich,Divorced,Bad
male,2,own,quite rich,little,Divorced,Bad
male,3,free,little,rich,Married,Good
male,2,own,quite rich,little,Divorced,Bad
male,2,own,quite rich,little,Divorced,Good
female,2,own,little,rich,Divorced,Good
female,2,own,rich,little,Divorced,Good
female,2,rent,little,rich,Divorced,Good
male,2,own,little,rich,Divorced,Bad
male,2,rent,little,rich,Divorced,Bad
female,2,own,little,rich,Divorced,Good
female,3,own,little,rich,Divorced,Good
male,2,own,little,rich,Divorced,Bad
male,2,own,little,rich,Divorced,Bad
female,3,own,moderate,moderate,Married,Good
male,2,own,little,rich,Divorced,Good
male,2,own,quite rich,little,Single,Bad
male,3,rent,little,rich,Divorced,Bad
male,2,own,little,rich,Single,Bad
male,2,own,little,rich,Single,Good
male,3,own,little,rich,Divorced,Bad
male,1,own,moderate,moderate,Divorced,Bad
male,2,own,rich,little,Single,Bad
male,2,own,little,rich,Divorced,Bad
